Season,Race,DriverID,FastestPracticeLap,AvgPracticeLap,Q1Time,Q2Time,Q3Time,QualiGridPos,RaceGridPos,RacePosition
2021,Bahrain Grand Prix,ricciardo,91.23,108.3766136,90.795,90.222,89.927,6,6,7
2021,Bahrain Grand Prix,norris,90.942,110.3504545,90.902,90.099,89.974,7,7,4
2021,Bahrain Grand Prix,vettel,91.769,108.5995098,92.056,,,18,20,15
2021,Bahrain Grand Prix,latifi,93.4,108.6272157,91.936,,,17,17,18
2021,Bahrain Grand Prix,raikkonen,91.862,108.0403448,91.547,91.238,,14,14,11
2021,Bahrain Grand Prix,mazepin,93.449,113.56275,93.273,,,20,19,20
2021,Bahrain Grand Prix,gasly,91.483,106.5958958,90.848,90.513,89.809,5,5,17
2021,Bahrain Grand Prix,perez,91.503,110.4468462,91.165,90.659,,11,0,5
2021,Bahrain Grand Prix,alonso,91.77,106.6198864,90.863,90.595,90.249,9,9,19
2021,Bahrain Grand Prix,leclerc,91.612,111.6163556,90.691,90.01,89.678,4,4,6
2021,Bahrain Grand Prix,stroll,91.393,104.5399756,91.261,90.624,90.601,10,10,10
2021,Bahrain Grand Prix,tsunoda,91.294,114.1790417,90.607,91.203,,13,13,9
2021,Bahrain Grand Prix,ocon,91.601,108.7963721,91.724,,,16,16,13
2021,Bahrain Grand Prix,max_verstappen,90.577,106.4878,90.499,90.318,88.997,1,1,2
2021,Bahrain Grand Prix,hamilton,91.082,102.5639375,90.617,90.085,89.385,2,2,1
2021,Bahrain Grand Prix,mick_schumacher,93.297,107.6853889,92.449,,,19,18,16
2021,Bahrain Grand Prix,sainz,91.127,109.0926,91.653,90.009,90.215,8,8,8
2021,Bahrain Grand Prix,russell,92.331,108.1444231,91.316,93.43,,15,15,14
2021,Bahrain Grand Prix,bottas,91.218,107.4365714,91.2,90.186,89.586,3,3,3
2021,Bahrain Grand Prix,giovinazzi,91.74,107.8212,90.998,90.708,,12,12,12
2021,Emilia Romagna Grand Prix,ricciardo,76.253,89.99392308,75.669,75.033,74.826,6,6,6
