Season,Race,DriverID,Q1Time,Q2Time,Q3Time,GridPos
2021,Pre-Season Test,max_verstappen,94.352,93.464,92.91,1.0
2021,Pre-Season Test,hamilton,94.579,93.797,93.119,2.0
2021,Pre-Season Test,perez,94.369,94.178,93.134,3.0
2021,Pre-Season Test,bottas,94.59,93.959,93.475,4.0
2021,Pre-Season Test,leclerc,94.153,93.928,93.606,5.0
2021,Pre-Season Test,sainz,94.558,94.126,93.792,6.0
2021,Pre-Season Test,ricciardo,94.407,94.643,93.808,7.0
2021,Pre-Season Test,norris,94.551,93.88,93.887,8.0
2021,Pre-Season Test,gasly,94.567,94.583,94.118,9.0
2021,Pre-Season Test,tsunoda,95.36,95.137,94.918,10.0
2021,Pre-Season Test,ocon,95.747,95.377,,11.0
2021,Pre-Season Test,vettel,95.281,95.5,,12.0
2021,Pre-Season Test,giovinazzi,95.92,95.794,,13.0
2021,Pre-Season Test,alonso,95.756,104.549,,14.0
2021,Pre-Season Test,russell,95.746,,,15.0
2021,Pre-Season Test,stroll,95.983,,,16.0
2021,Pre-Season Test,latifi,95.995,,,17.0
2021,Pre-Season Test,raikkonen,96.311,,,18.0
2021,Pre-Season Test,mick_schumacher,96.499,,,19.0
2021,Pre-Season Test,mazepin,96.796,,,20.0
2021,Bahrain Grand Prix,max_verstappen,90.499,90.318,88.997,1.0
2021,Bahrain Grand Prix,hamilton,90.617,90.085,89.385,2.0
2021,Bahrain Grand Prix,bottas,91.2,90.186,89.586,3.0
2021,Bahrain Grand Prix,leclerc,90.691,90.01,89.678,4.0
2021,Bahrain Grand Prix,gasly,90.848,90.513,89.809,5.0
2021,Bahrain Grand Prix,ricciardo,90.795,90.222,89.927,6.0
2021,Bahrain Grand Prix,norris,90.902,90.099,89.974,7.0
2021,Bahrain Grand Prix,sainz,91.653,90.009,90.215,8.0
2021,Bahrain Grand Prix,alonso,90.863,90.595,90.249,9.0
2021,Bahrain Grand Prix,stroll,91.261,90.624,90.601,10.0
2021,Bahrain Grand Prix,perez,91.165,90.659,,11.0
2021,Bahrain Grand Prix,giovinazzi,90.998,90.708,,12.0
2021,Bahrain Grand Prix,tsunoda,90.607,91.203,,13.0
2021,Bahrain Grand Prix,raikkonen,91.547,91.238,,14.0
2021,Bahrain Grand Prix,russell,91.316,93.43,,15.0
2021,Bahrain Grand Prix,ocon,91.724,,,16.0
2021,Bahrain Grand Prix,latifi,91.936,,,17.0
2021,Bahrain Grand Prix,vettel,92.056,,,18.0
2021,Bahrain Grand Prix,mick_schumacher,92.449,,,19.0
2021,Bahrain Grand Prix,mazepin,93.273,,,20.0
2021,Emilia Romagna Grand Prix,hamilton,74.823,74.817,74.411,1.0
2021,Emilia Romagna Grand Prix,perez,75.395,74.716,74.446,2.0
2021,Emilia Romagna Grand Prix,max_verstappen,75.109,74.884,74.498,3.0
2021,Emilia Romagna Grand Prix,leclerc,75.413,74.808,74.74,4.0
2021,Emilia Romagna Grand Prix,gasly,75.548,74.927,74.79,5.0
2021,Emilia Romagna Grand Prix,ricciardo,75.669,75.033,74.826,6.0
2021,Emilia Romagna Grand Prix,norris,75.009,74.718,74.875,7.0
2021,Emilia Romagna Grand Prix,bottas,74.672,74.905,74.898,8.0
2021,Emilia Romagna Grand Prix,ocon,75.385,75.117,75.21,9.0
2021,Emilia Romagna Grand Prix,stroll,75.522,75.138,,10.0
2021,Emilia Romagna Grand Prix,sainz,75.406,75.199,,11.0
2021,Emilia Romagna Grand Prix,russell,75.826,75.261,,12.0
2021,Emilia Romagna Grand Prix,vettel,75.459,75.394,,13.0
2021,Emilia Romagna Grand Prix,latifi,75.653,75.593,,14.0
2021,Emilia Romagna Grand Prix,alonso,75.832,75.593,,15.0
2021,Emilia Romagna Grand Prix,raikkonen,75.974,,,16.0
2021,Emilia Romagna Grand Prix,giovinazzi,76.122,,,17.0
2021,Emilia Romagna Grand Prix,mick_schumacher,76.279,,,18.0
2021,Emilia Romagna Grand Prix,mazepin,76.797,,,19.0
2021,Emilia Romagna Grand Prix,tsunoda,,,,20.0
2021,Portuguese Grand Prix,bottas,78.722,78.458,78.348,1.0
2021,Portuguese Grand Prix,hamilton,78.857,77.968,78.355,2.0
2021,Portuguese Grand Prix,max_verstappen,79.485,78.65,78.746,3.0
2021,Portuguese Grand Prix,perez,79.337,78.845,78.89,4.0
2021,Portuguese Grand Prix,sainz,79.309,78.813,79.039,5.0
2021,Portuguese Grand Prix,ocon,79.092,78.586,79.042,6.0
2021,Portuguese Grand Prix,norris,78.794,78.481,79.116,7.0
2021,Portuguese Grand Prix,leclerc,79.373,78.769,79.306,8.0
2021,Portuguese Grand Prix,gasly,79.464,79.052,79.475,9.0
2021,Portuguese Grand Prix,vettel,79.403,78.97,79.659,10.0
2021,Portuguese Grand Prix,russell,79.797,79.109,,11.0
2021,Portuguese Grand Prix,giovinazzi,79.41,79.216,,12.0
2021,Portuguese Grand Prix,alonso,79.728,79.456,,13.0
2021,Portuguese Grand Prix,tsunoda,79.684,79.463,,14.0
2021,Portuguese Grand Prix,raikkonen,79.748,79.812,,15.0
2021,Portuguese Grand Prix,ricciardo,79.839,,,16.0
2021,Portuguese Grand Prix,stroll,79.913,,,17.0
2021,Portuguese Grand Prix,latifi,80.285,,,18.0
2021,Portuguese Grand Prix,mick_schumacher,80.452,,,19.0
2021,Portuguese Grand Prix,mazepin,80.912,,,20.0
