Season,Race,DriverID,RacePosition
2021,Bahrain Grand Prix,hamilton,1.0
2021,Bahrain Grand Prix,max_verstappen,2.0
2021,Bahrain Grand Prix,bottas,3.0
2021,Bahrain Grand Prix,norris,4.0
2021,Bahrain Grand Prix,perez,5.0
2021,Bahrain Grand Prix,leclerc,6.0
2021,Bahrain Grand Prix,ricciardo,7.0
2021,Bahrain Grand Prix,sainz,8.0
2021,Bahrain Grand Prix,tsunoda,9.0
2021,Bahrain Grand Prix,stroll,10.0
2021,Bahrain Grand Prix,raikkonen,11.0
2021,Bahrain Grand Prix,giovinazzi,12.0
2021,Bahrain Grand Prix,ocon,13.0
2021,Bahrain Grand Prix,russell,14.0
2021,Bahrain Grand Prix,vettel,15.0
2021,Bahrain Grand Prix,mick_schumacher,16.0
2021,Bahrain Grand Prix,gasly,17.0
2021,Bahrain Grand Prix,latifi,18.0
2021,Bahrain Grand Prix,alonso,19.0
2021,Bahrain Grand Prix,mazepin,20.0
2021,Emilia Romagna Grand Prix,max_verstappen,1.0
2021,Emilia Romagna Grand Prix,hamilton,2.0
2021,Emilia Romagna Grand Prix,norris,3.0
2021,Emilia Romagna Grand Prix,leclerc,4.0
2021,Emilia Romagna Grand Prix,sainz,5.0
2021,Emilia Romagna Grand Prix,ricciardo,6.0
2021,Emilia Romagna Grand Prix,gasly,7.0
2021,Emilia Romagna Grand Prix,stroll,8.0
2021,Emilia Romagna Grand Prix,ocon,9.0
2021,Emilia Romagna Grand Prix,alonso,10.0
2021,Emilia Romagna Grand Prix,perez,11.0
2021,Emilia Romagna Grand Prix,tsunoda,12.0
2021,Emilia Romagna Grand Prix,raikkonen,13.0
2021,Emilia Romagna Grand Prix,giovinazzi,14.0
2021,Emilia Romagna Grand Prix,vettel,15.0
2021,Emilia Romagna Grand Prix,mick_schumacher,16.0
2021,Emilia Romagna Grand Prix,mazepin,17.0
2021,Emilia Romagna Grand Prix,bottas,18.0
2021,Emilia Romagna Grand Prix,russell,19.0
2021,Emilia Romagna Grand Prix,latifi,20.0
2021,Portuguese Grand Prix,hamilton,1.0
2021,Portuguese Grand Prix,max_verstappen,2.0
2021,Portuguese Grand Prix,bottas,3.0
2021,Portuguese Grand Prix,perez,4.0
2021,Portuguese Grand Prix,norris,5.0
2021,Portuguese Grand Prix,leclerc,6.0
2021,Portuguese Grand Prix,ocon,7.0
2021,Portuguese Grand Prix,alonso,8.0
2021,Portuguese Grand Prix,ricciardo,9.0
2021,Portuguese Grand Prix,gasly,10.0
2021,Portuguese Grand Prix,sainz,11.0
2021,Portuguese Grand Prix,giovinazzi,12.0
2021,Portuguese Grand Prix,vettel,13.0
