Season,Race,DriverID,QualiGridPos,RaceGridPos,RacePosition,Q1_Rank,Q2_Rank,QualiStage
2021,Bahrain Grand Prix,vettel,18.0,20.0,15.0,18.0,,1
2021,Bahrain Grand Prix,mazepin,20.0,19.0,20.0,20.0,,1
2021,Bahrain Grand Prix,perez,11.0,20.0,5.0,10.0,11.0,2
2021,Bahrain Grand Prix,mick_schumacher,19.0,18.0,16.0,19.0,,1
2021,Emilia Romagna Grand Prix,vettel,13.0,13.0,15.0,9.0,13.0,2
2021,Azerbaijan Grand Prix,norris,6.0,9.0,5.0,5.0,7.0,3
2021,Azerbaijan Grand Prix,perez,7.0,6.0,1.0,3.0,2.0,3
2021,Azerbaijan Grand Prix,alonso,9.0,8.0,6.0,15.0,10.0,3
2021,Azerbaijan Grand Prix,tsunoda,8.0,7.0,7.0,11.0,4.0,3
2021,Styrian Grand Prix,norris,4.0,3.0,5.0,3.0,2.0,3
2021,Styrian Grand Prix,perez,5.0,4.0,4.0,5.0,1.0,3
2021,Styrian Grand Prix,alonso,9.0,8.0,9.0,11.0,7.0,3
2021,Styrian Grand Prix,stroll,10.0,9.0,8.0,9.0,10.0,3
2021,Styrian Grand Prix,tsunoda,8.0,11.0,10.0,4.0,8.0,3
2021,Styrian Grand Prix,hamilton,3.0,2.0,2.0,6.0,6.0,3
2021,Styrian Grand Prix,russell,11.0,10.0,19.0,12.0,11.0,2
2021,Styrian Grand Prix,bottas,2.0,5.0,3.0,2.0,5.0,3
2021,Austrian Grand Prix,vettel,8.0,11.0,17.0,10.0,7.0,3
2021,Austrian Grand Prix,stroll,10.0,9.0,13.0,13.0,9.0,3
2021,Austrian Grand Prix,sainz,11.0,10.0,5.0,6.0,11.0,2
2021,Austrian Grand Prix,russell,9.0,8.0,11.0,12.0,10.0,3
2021,British Grand Prix,ricciardo,7.0,6.0,5.0,5.0,9.0,3
2021,British Grand Prix,norris,6.0,5.0,4.0,8.0,10.0,3
