Season,Race,DriverID,FastestPracticeLap,AvgPracticeLap,Q1Time,Q2Time,Q3Time,QualiGridPos,RaceGridPos,RacePosition
2021,Bahrain Grand Prix,ricciardo,91.23,108.37661363636364,90.795,90.222,89.927,6.0,6.0,7.0
2021,Bahrain Grand Prix,norris,90.942,110.35045454545455,90.902,90.099,89.974,7.0,7.0,4.0
2021,Bahrain Grand Prix,vettel,91.769,108.59950980392156,92.056,,,18.0,20.0,15.0
2021,Bahrain Grand Prix,latifi,93.4,108.62721568627452,91.936,,,17.0,17.0,18.0
2021,Bahrain Grand Prix,raikkonen,91.862,108.0403448275862,91.547,91.238,,14.0,14.0,11.0
2021,Bahrain Grand Prix,mazepin,93.449,113.56275,93.273,,,20.0,19.0,20.0
2021,Bahrain Grand Prix,gasly,91.483,106.59589583333332,90.848,90.513,89.809,5.0,5.0,17.0
2021,Bahrain Grand Prix,perez,91.503,110.44684615384617,91.165,90.659,,11.0,20.0,5.0
2021,Bahrain Grand Prix,alonso,91.77,106.61988636363635,90.863,90.595,90.249,9.0,9.0,19.0
2021,Bahrain Grand Prix,leclerc,91.612,111.61635555555556,90.691,90.01,89.678,4.0,4.0,6.0
2021,Bahrain Grand Prix,stroll,91.393,104.5399756097561,91.261,90.624,90.601,10.0,10.0,10.0
2021,Bahrain Grand Prix,tsunoda,91.294,114.17904166666666,90.607,91.203,,13.0,13.0,9.0
2021,Bahrain Grand Prix,ocon,91.601,108.79637209302324,91.724,,,16.0,16.0,13.0
2021,Bahrain Grand Prix,max_verstappen,90.577,106.4878,90.499,90.318,88.997,1.0,1.0,2.0
2021,Bahrain Grand Prix,hamilton,91.082,102.5639375,90.617,90.085,89.385,2.0,2.0,1.0
2021,Bahrain Grand Prix,mick_schumacher,93.297,107.6853888888889,92.449,,,19.0,18.0,16.0
2021,Bahrain Grand Prix,sainz,91.127,109.0926,91.653,90.009,90.215,8.0,8.0,8.0
2021,Bahrain Grand Prix,russell,92.331,108.14442307692308,91.316,93.43,,15.0,15.0,14.0
2021,Bahrain Grand Prix,bottas,91.218,107.43657142857144,91.2,90.186,89.586,3.0,3.0,3.0
2021,Bahrain Grand Prix,giovinazzi,91.74,107.8212,90.998,90.708,,12.0,12.0,12.0
2021,Emilia Romagna Grand Prix,ricciardo,76.253,89.99392307692308,75.669,75.033,74.826,6.0,6.0,6.0
2021,Emilia Romagna Grand Prix,norris,75.414,88.74041860465117,75.009,74.718,74.875,7.0,7.0,3.0
2021,Emilia Romagna Grand Prix,vettel,76.389,87.75021052631578,75.459,75.394,,13.0,13.0,15.0
2021,Emilia Romagna Grand Prix,latifi,76.537,90.01596428571429,75.653,75.593,,14.0,14.0,20.0
2021,Emilia Romagna Grand Prix,raikkonen,76.775,90.11756603773584,75.974,,,16.0,16.0,13.0
2021,Emilia Romagna Grand Prix,mazepin,76.793,92.59289361702128,76.797,,,19.0,19.0,17.0
2021,Emilia Romagna Grand Prix,gasly,75.629,88.35733870967742,75.548,74.927,74.79,5.0,5.0,7.0
2021,Emilia Romagna Grand Prix,perez,75.551,89.48780851063829,75.395,74.716,74.446,2.0,2.0,11.0
2021,Emilia Romagna Grand Prix,alonso,76.186,91.93744067796612,75.832,75.593,,15.0,15.0,10.0
2021,Emilia Romagna Grand Prix,leclerc,75.367,92.98020408163264,75.413,74.808,74.74,4.0,4.0,4.0
2021,Emilia Romagna Grand Prix,stroll,76.245,89.2937843137255,75.522,75.138,,10.0,10.0,8.0
2021,Emilia Romagna Grand Prix,tsunoda,76.23,90.85287234042552,,,,20.0,20.0,12.0
2021,Emilia Romagna Grand Prix,ocon,76.228,87.08376785714286,75.385,75.117,75.21,9.0,9.0,9.0
2021,Emilia Romagna Grand Prix,max_verstappen,74.958,89.99249999999999,75.109,74.884,74.498,3.0,3.0,1.0
2021,Emilia Romagna Grand Prix,hamilton,75.515,89.51419298245614,74.823,74.817,74.411,1.0,1.0,2.0
2021,Emilia Romagna Grand Prix,mick_schumacher,76.448,89.1717627118644,76.279,,,18.0,18.0,16.0
2021,Emilia Romagna Grand Prix,sainz,75.834,92.04265625,75.406,75.199,,11.0,11.0,5.0
2021,Emilia Romagna Grand Prix,russell,76.427,91.13614285714286,75.826,75.261,,12.0,12.0,19.0
2021,Emilia Romagna Grand Prix,bottas,75.551,89.45276363636364,74.672,74.905,74.898,8.0,8.0,18.0
2021,Emilia Romagna Grand Prix,giovinazzi,76.513,91.46069491525424,76.122,,,17.0,17.0,14.0
2021,Portuguese Grand Prix,ricciardo,79.582,92.20684722222222,79.839,,,16.0,16.0,9.0
2021,Portuguese Grand Prix,norris,79.272,93.42580952380952,78.794,78.481,79.116,7.0,7.0,5.0
2021,Portuguese Grand Prix,vettel,80.129,91.5734,79.403,78.97,79.659,10.0,10.0,13.0
2021,Portuguese Grand Prix,latifi,80.681,97.91198571428572,80.285,,,18.0,18.0,18.0
2021,Portuguese Grand Prix,raikkonen,79.415,93.5135873015873,79.748,79.812,,15.0,15.0,20.0
2021,Portuguese Grand Prix,mazepin,80.64,94.43691176470588,80.912,,,20.0,20.0,19.0
2021,Portuguese Grand Prix,gasly,79.374,90.50386419753086,79.464,79.052,79.475,9.0,9.0,10.0
2021,Portuguese Grand Prix,perez,78.84,93.8570606060606,79.337,78.845,78.89,4.0,4.0,4.0
2021,Portuguese Grand Prix,alonso,78.735,89.73136486486487,79.728,79.456,,13.0,13.0,8.0
2021,Portuguese Grand Prix,leclerc,79.001,93.8553108108108,79.373,78.769,79.306,8.0,8.0,6.0
2021,Portuguese Grand Prix,stroll,80.007,92.79089705882352,79.913,,,17.0,17.0,14.0
2021,Portuguese Grand Prix,tsunoda,79.485,92.01189333333332,79.684,79.463,,14.0,14.0,15.0
2021,Portuguese Grand Prix,ocon,78.86,90.85102985074629,79.092,78.586,79.042,6.0,6.0,7.0
2021,Portuguese Grand Prix,max_verstappen,78.489,90.91659322033898,79.485,78.65,78.746,3.0,3.0,2.0
2021,Portuguese Grand Prix,hamilton,78.725,89.56786842105264,78.857,77.968,78.355,2.0,2.0,1.0
2021,Portuguese Grand Prix,mick_schumacher,80.033,92.25904285714286,80.452,,,19.0,19.0,17.0
2021,Portuguese Grand Prix,sainz,79.05,93.41006666666668,79.309,78.813,79.039,5.0,5.0,11.0
2021,Portuguese Grand Prix,russell,80.127,94.90957971014493,79.797,79.109,,11.0,11.0,16.0
2021,Portuguese Grand Prix,bottas,78.82,89.59244776119404,78.722,78.458,78.348,1.0,1.0,3.0
2021,Portuguese Grand Prix,,81.806,89.15266666666668,,,,,,
2021,Portuguese Grand Prix,giovinazzi,79.588,93.29642857142856,79.41,79.216,,12.0,12.0,12.0
2021,Spanish Grand Prix,ricciardo,78.582,94.4863606557377,78.264,77.719,77.622,7.0,7.0,6.0
2021,Spanish Grand Prix,norris,78.494,96.28551785714284,77.821,77.696,78.01,9.0,9.0,8.0
2021,Spanish Grand Prix,vettel,78.947,93.13404761904762,78.289,78.079,,13.0,13.0,13.0
2021,Spanish Grand Prix,latifi,79.392,98.82020689655172,79.219,,,19.0,19.0,16.0
2021,Spanish Grand Prix,mazepin,80.237,97.94512727272728,79.807,,,20.0,20.0,19.0
2021,Spanish Grand Prix,gasly,78.535,94.7308,78.19,77.982,,12.0,12.0,10.0
2021,Spanish Grand Prix,perez,78.606,97.75712765957446,78.203,77.669,77.701,8.0,8.0,5.0
2021,Spanish Grand Prix,alonso,78.518,90.65785483870968,78.281,77.966,78.147,10.0,10.0,17.0
